iter	RMSE
0	3.0753936
50	2.510232561
100	2.207454287
150	2.050569874
200	1.96153419
250	1.902660345
300	1.860005876
350	1.827283913
400	1.800537391
450	1.777826361
500	1.759033867
550	1.74181375
600	1.727450688
650	1.713962238
700	1.702241444
750	1.691303686
800	1.681178606
850	1.671773401
900	1.663569065
950	1.655562696
1000	1.647993517
1050	1.640155439
1100	1.632495874
1150	1.624948974
1200	1.618167734
1250	1.61150005
1300	1.604523229
1350	1.598095083
1400	1.591445677
1450	1.585354045
1500	1.579378873
1550	1.573942981
1600	1.56876451
1650	1.56365606
1700	1.558640179
1750	1.553966979
1800	1.549578313
1850	1.545047194
1900	1.540832456
1950	1.536504812
2000	1.532568925
2050	1.528559535
2100	1.524715642
2150	1.52096497
2200	1.517301006
2250	1.513688191
2300	1.510075508
2350	1.506703819
2400	1.503209129
2450	1.499927335
2500	1.496635899
2550	1.493403869
2600	1.490352905
2650	1.487352771
2700	1.484415346
2750	1.481621009
2800	1.478763547
2850	1.475932094
2900	1.473036735
2950	1.470453944
3000	1.467933308
3050	1.46519079
3100	1.462469066
3150	1.459901815
3200	1.457514581
3250	1.455000213
3300	1.452518152
3350	1.450178221
3400	1.447807337
3450	1.445511923
3500	1.443191932
3550	1.441065427
3600	1.438788003
3650	1.436737098
3700	1.434631315
3750	1.432631099
3800	1.430479317
3850	1.428480385
3900	1.426457134
3950	1.424509449
4000	1.42263721
4050	1.420715684
4100	1.418793369
4150	1.416907046
4200	1.415072447
4250	1.413117643
4300	1.411286821
4350	1.409517292
4400	1.407833225
4450	1.405914407
4500	1.404106907
4550	1.402343391
4600	1.400652898
4650	1.398981241
4700	1.397351671
4750	1.395679828
4800	1.394110754
4850	1.392545105
4900	1.390958216
4950	1.389371752
4999	1.387853806
