iter	Passed	Remaining
0	655	3275192
1	1091	2726688
2	1609	2681456
3	2045	2554894
4	2589	2587259
5	3056	2543711
6	3716	2650727
7	4157	2594258
8	4807	2666154
9	5305	2647355
10	5804	2632647
11	6327	2630089
12	6928	2657906
13	7305	2601799
14	7905	2627401
15	8280	2579321
16	8706	2551999
17	9233	2555636
18	9851	2582692
19	10267	2556582
20	10723	2542473
21	11127	2517814
22	11654	2521950
23	12098	2508517
24	12514	2490473
25	12909	2469760
26	13358	2460490
27	13922	2472150
28	14520	2488964
29	14981	2481987
30	15375	2464555
31	15814	2455259
32	16196	2437879
33	16655	2432745
34	17067	2421215
35	17540	2418613
36	17991	2413303
37	18377	2399688
38	18797	2391180
39	19194	2380105
40	19636	2375013
41	20122	2375461
42	20658	2381452
43	21056	2371778
44	21462	2363218
45	21858	2354110
46	22240	2343757
47	22673	2339161
48	23039	2327943
49	23464	2322998
50	23976	2326700
51	24410	2322742
52	24839	2318471
53	25250	2312776
54	25701	2310825
55	26070	2301675
56	26711	2316379
57	27142	2312737
58	27574	2309254
59	27989	2304494
60	28379	2297825
61	28825	2295847
62	29200	2288297
63	29651	2286872
64	30122	2287011
65	30532	2282500
66	30964	2279832
67	31383	2276246
68	31788	2271757
69	32169	2265647
70	32821	2278575
71	33189	2271650
72	33645	2270814
73	34035	2265628
74	34473	2263787
75	34844	2257583
76	35204	2250832
77	35715	2253709
78	36149	2251778
79	36589	2250261
80	36961	2244614
81	37316	2238099
82	37734	2235403
83	38123	2231103
84	38778	2242315
85	39207	2240307
86	39656	2239462
87	40065	2236356
88	40475	2233420
89	40864	2229389
90	41242	2224830
91	41717	2225559
92	42112	2221989
93	42540	2220254
94	42947	2217426
95	43344	2214169
96	43794	2213673
97	44183	2210080
98	44850	2220317
99	45235	2216563
100	45679	2215692
101	46055	2211585
102	46476	2209654
103	46872	2206595
104	47282	2204267
105	47818	2207770
106	48198	2204068
107	48644	2203411
108	49012	2199248
109	49401	2196122
110	49833	2194901
111	50217	2191628
112	50853	2199319
113	51245	2196378
114	51656	2194273
115	52027	2190553
116	52410	2187355
117	53078	2196005
118	53445	2192178
119	53963	2194510
120	54367	2192222
121	54800	2191103
122	55190	2188318
123	55651	2188348
124	56029	2185136
125	56398	2181634
126	57051	2189076
127	57404	2184947
128	57839	2184013
129	58228	2181337
130	58649	2179864
131	59034	2177104
132	59402	2173770
133	59887	2174732
134	60234	2170687
135	60665	2169681
136	61034	2166504
137	61430	2164329
138	61852	2163057
139	62255	2161143
140	62914	2168110
141	63261	2164266
142	63678	2162831
143	64077	2160821
144	64480	2158987
145	64874	2156869
146	65248	2154082
147	65732	2154946
148	66127	2152915
149	66492	2149936
150	66919	2148971
151	67290	2146225
152	67684	2144236
153	68056	2141570
154	68639	2145537
155	69102	2145722
156	69477	2143196
157	69904	2142255
158	70287	2140009
159	70662	2137537
160	71013	2134378
161	71364	2131238
162	71904	2133752
163	72268	2131039
164	72666	2129334
165	73025	2126540
166	73395	2124077
167	73795	2122506
168	74470	2128792
169	74911	2128375
170	75274	2125745
171	75691	2124646
172	76056	2122094
173	76440	2120127
174	76942	2121405
175	77293	2118554
176	77841	2121063
177	78195	2118301
178	78685	2119246
179	79066	2117233
180	79452	2115377
181	79985	2117412
182	80474	2118291
183	80883	2117042
184	81258	2114904
185	81736	2115472
186	82105	2113216
187	82471	2110908
188	82964	2111876
189	83338	2109782
190	83726	2108067
191	84084	2105610
192	84479	2104108
193	84895	2103127
194	85239	2100378
195	85662	2099606
196	86201	2101657
197	86589	2100006
198	86956	2097887
199	87311	2095468
200	87720	2094385
201	88064	2091744
202	88450	2090125
203	88934	2090824
204	89275	2088178
205	89678	2086985
206	90020	2084385
207	90395	2082572
208	90862	2082875
209	91219	2080680
210	91803	2083627
211	92302	2084634
212	92705	2083484
213	93065	2081356
214	93429	2079359
215	93825	2078053
216	94179	2075861
217	94569	2074464
218	95011	2074210
219	95367	2072066
220	95775	2071081
221	96099	2068301
222	96451	2066143
223	96862	2065238
224	97350	2065992
225	97768	2065261
226	98158	2063926
227	98490	2061386
228	98897	2060433
229	99237	2058100
230	99628	2056826
231	99994	2055053
232	100347	2053024
233	100779	2052625
234	101166	2051317
235	101534	2049617
236	101919	2048287
237	102259	2046052
238	102778	2047403
239	103115	2045119
240	103468	2043179
241	103939	2043577
242	104269	2041202
243	104682	2040447
244	105038	2038613
245	105395	2036787
246	105786	2035631
247	106137	2033728
248	106540	2032818
249	107092	2034751
250	107449	2032981
251	107876	2032521
252	108356	2033079
253	108750	2032004
254	109090	2029932
255	109437	2028007
256	109842	2027163
257	110201	2025489
258	110578	2024142
259	110957	2022836
260	111298	2020854
261	111687	2019757
262	112036	2017942
263	112385	2016121
264	112814	2015760
265	113226	2015094
266	113753	2016462
267	114097	2014592
268	114441	2012717
269	114848	2011979
270	115198	2010239
271	115566	2008816
272	116004	2008613
273	116348	2006806
274	116792	2006699
275	117186	2005758
276	117624	2005568
277	117999	2004289
278	118353	2002673
